ID,UK_HS,UK_casecontrol,UK_FCI,Sex,Birth_Year,Birth_Month,HD_Year,HD_Age,PC1,PC2,Group
473,7,1,1,2,2011,10,2012,1.11,-0.0215932,-0.145098,1
474,15,2,2,2,2010,4,2011,1.42,-0.0575257,0.0488182,1
475,-9,-9,-9,1,-9,-9,-9,-9,0.081576,0.00223277,1
476,6,1,1,2,2011,4,2012,1.45,-0.0252696,-0.161941,1
477,11,2,2,1,2003,5,2004,1.61,-0.0257185,-0.0897132,1
478,12,2,2,1,2012,6,2013,1.28,-0.100971,0.11824,1
479,12,2,2,2,2012,3,2013,1.5,-0.0517984,0.00799708,1
480,-9,-9,-9,1,-9,-9,-9,-9,-0.0169662,-0.000890442,1
481,7,1,1,2,2011,2,2012,1.26,-0.00532903,0.0605441,1
482,7,1,1,1,2008,3,2011,3.43,-0.0530156,0.0303209,1
483,-9,-9,-9,1,-9,-9,-9,-9,0.0251874,0.023633,1
484,6,1,1,2,2006,6,2008,1.75,0.0543695,0.0131777,1
485,10,1,1,2,2005,7,2007,1.99,-0.0146223,0.0360924,1
486,-9,-9,-9,2,-9,-9,-9,-9,0.0807772,0.0141785,1
487,4,1,1,1,2005,5,2007,1.82,0.0214272,0.00316356,1
488,-9,-9,-9,2,-9,-9,-9,-9,-0.000815602,0.0500377,1
489,-9,-9,-9,2,-9,-9,-9,-9,0.0645618,0.00687573,1
490,7,1,1,1,2007,5,2008,1.19,0.0721839,0.0360195,1
491,12,2,2,1,2011,10,2012,1.04,0.000548699,0.0259495,1
492,14,2,2,2,2006,9,2010,3.84,-0.0282958,-0.0240723,1
493,12,2,2,2,2015,2,2016,1.28,0.0658668,0.0214872,1
494,10,1,1,2,2009,10,2010,1.13,0.0776477,0.0266736,1
495,-9,-9,-9,1,-9,-9,-9,-9,-0.0349616,-0.0929967,1
496,-9,-9,-9,1,-9,-9,-9,-9,0.033118,-0.0311595,1
497,85,2,5,1,2004,7,2013,9.07,-0.0186195,-0.0656125,1
498,-9,-9,-9,2,-9,-9,-9,-9,0.0512445,0.015042,1
499,-9,-9,-9,1,-9,-9,-9,-9,0.0254275,-0.0582326,1
500,7,1,1,2,2006,7,2007,1.21,0.0398836,-0.0142276,1
501,11,2,2,2,2010,5,2011,1.14,-0.0128129,-0.133781,1
502,-9,-9,-9,1,-9,-9,-9,-9,0.0830227,0.0237414,1
503,22,2,2,2,2007,4,2009,1.83,0.0556616,0.00945257,1
504,-9,-9,-9,2,-9,-9,-9,-9,0.0178891,0.00600745,1
505,16,2,2,2,2004,2,2005,1.48,-0.0925771,0.044916,1
506,-9,-9,-9,2,-9,-9,-9,-9,-0.0529503,0.0475162,1
507,11,2,2,2,2011,10,2012,1.06,-0.0809282,0.058745,1
508,8,1,1,2,2006,10,2007,1.18,-0.0845629,0.0755291,1
509,95,2,5,2,2012,6,2014,1.84,0.00992419,-0.00960795,1
510,13,2,2,2,2005,4,2007,2.27,0.0204647,-0.000517526,1
511,-9,-9,-9,1,-9,-9,-9,-9,0.0805911,0.0169997,1
512,-9,-9,-9,1,-9,-9,-9,-9,0.0187823,-0.0472734,1
513,16,2,2,2,2015,3,2016,1.24,0.0824158,0.0136274,1
514,11,2,2,2,2010,8,2012,1.85,-0.0185855,-0.118548,1
515,61,2,5,2,2006,3,2007,1.3,-0.0261867,0.031754,1
516,6,1,1,2,2006,7,2007,1.1,-0.0296018,-0.134395,1
517,11,2,2,2,2008,5,2010,1.8,-0.0963786,0.0629172,1
518,8,1,1,1,2012,9,2013,1.19,0.076249,0.0243199,1
519,10,1,1,2,2010,11,2012,1.82,-0.0200911,-0.104243,1
520,50,2,4,2,2007,6,2008,1.15,0.010815,-0.0103744,1
521,17,2,2,1,2006,4,2012,6,-0.0371778,-0.0996973,1
522,-9,-9,-9,2,-9,-9,-9,-9,0.00339089,0.0107913,1
523,7,1,1,1,2011,3,2012,1.06,-0.0603602,0.0296525,1
524,-9,-9,-9,1,-9,-9,-9,-9,0.0595314,0.0271932,1
525,13,2,2,1,2011,10,2013,1.21,0.0790592,0.0324587,1
526,11,2,2,1,2007,11,2010,2.17,-0.0310311,-0.0820435,1
527,6,1,1,2,2006,9,2008,1.98,-0.0885455,0.115668,1
528,-9,-9,-9,2,-9,-9,-9,-9,0.0405994,0.0308183,1
529,-9,-9,-9,2,-9,-9,-9,-9,0.0892575,0.00850301,1
530,12,2,2,1,2012,7,2013,1.18,-0.0185314,-0.0669418,1
531,9,1,1,2,2011,9,2014,2.59,-0.0382052,-0.0972083,1
532,28,2,3,2,2008,3,2011,3.65,-0.0862866,0.0645869,1
533,-9,-9,-9,1,-9,-9,-9,-9,-0.0141181,-0.0656718,1
534,6,1,1,2,2008,5,2010,1.76,-0.0220755,-0.0156219,1
535,10,1,1,2,2007,7,2012,4.82,-0.0635266,0.0409027,1
536,10,1,1,1,2006,8,2008,1.42,0.0768488,-0.00168527,1
